Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.00,Tor Books,Hardcover,384,2006,2006,,2022/04/23,"ai, future, sci-fi, science, currently-reading","ai (#8), future (#8), sci-fi (#4), science (#12), currently-reading (#5)",currently-reading,,,,1,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.23,Avon,Mass Market Paperback,1152,2002,1999,,2022/01/08,"comedey, fiction, historical-fiction, sci-fi, war, currently-reading","comedey (#3), fiction (#4), historical-fiction (#2), sci-fi (#3), war (#2), currently-reading (#4)",currently-reading,,,,1,0
28807710,The Brief Wonderous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""""","=""""",0,3.89,,Unknown Binding,,,2007,,2026/01/03,to-read,to-read (#313),to-read,,,,0,0
45245,"The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""0330340328""","=""9780330340328""",0,4.13,Pan Books,Mass Market Paperback,1223,1997,1996,,2026/01/02,to-read,to-read (#312),to-read,,,,0,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.50,Atlantic Monthly Press,Hardcover,224,2023,2023,,2026/01/02,"fiction, future, philosophy, science, literary-fiction, currently-reading","fiction (#3), future (#7), philosophy (#9), science (#11), literary-fiction (#1), currently-reading (#3)",currently-reading,,,,1,0
18114087,The Knowledge: How to Rebuild Our World from Scratch,Lewis Dartnell,"Dartnell, Lewis",,"=""159420523X""","=""9781594205231""",3,3.75,Penguin Books,Hardcover,352,2014,2014,2025/12/29,2020/03/23,,,read,,,,1,0
36517689,The Daily Stoic Journal: 366 Days of Writing and Reflection on the Art of Living,Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""1788160231""","=""9781788160230""",3,4.34,Profile Books,Hardcover,384,2017,2017,2025/12/29,2023/01/01,,,read,,,,1,0
62050269,"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,"Bennett, Max Solomon",,"=""""","=""""",4,4.46,Mariner Books,Hardcover,432,2023,,2025/12/29,2025/01/17,,,read,,,,1,0
56377201,AI 2041: Ten Visions for Our Future,Kai-Fu Lee,"Lee, Kai-Fu",Chen Qiufan,"=""059323829X""","=""9780593238295""",4,3.84,Crown Currency,Hardcover,480,2021,2021,2025/12/29,2024/01/17,,,read,,,,1,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",4,4.33,Harmony,Hardcover,496,2023,2023,2025/12/29,2025/08/12,,,read,,,,2,0
54870256,There Is No Antimemetics Division,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",5,4.14,,Kindle Edition,220,2020,2020,2025/12/29,2025/11/16,,,read,,,,1,0
220160337,Super Agers: An Evidence-Based Approach to Longevity,Eric Topol,"Topol, Eric",,"=""1668067668""","=""9781668067666""",4,3.48,Simon & Schuster,Hardcover,464,2025,,2025/12/29,2025/10/05,,,read,,,,1,0
29093292,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""""","=""""",3,4.37,Portfolio,Hardcover,416,2016,2016,2025/12/29,2023/01/01,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",4,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,2025/06/07,2025/08/02,"history, historical-fiction","history (#4), historical-fiction (#1)",read,"Again I find myself in Nazi Germany. What a surprise. This time because I resurrected my old Kindle and couldn’t remember how to get back to the main screen after pressing on a book - i did not know that it was another NAZI book in my defence. But, once I’d started, the only way out was through.<br/><br/>Pretty good overall. The child’s view of war and the Nazi years is handled really well, the characters feel alive, and there are brave moments, such as the fate of the girl's families. The ending felt a bit too “nice” for such a grim setting, but as a story it worked. Great for YA, glad I stuck with it.",,,1,0
9300768,The Heroes,Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",5,4.35,Orbit,ebook,581,2011,2011,2025/12/22,2025/11/16,"comedey, fantasy, fiction, war","comedey (#2), fantasy (#4), fiction (#2), war (#1)",read,"Slick, brutal, pointless, painful - all set in the dank North. This is war fiction done right.<br/><br/>It is really battle fiction, a three day slog in the mud. Little fantasy, little overarching story even though some top tier players appear. <br/><br/>The battle itself is phenomenal. So many viewpoints from top to bottom of the hierarchy, and especially on day three where the POV bounces around in real-time within the fight. It's relentless. Abercrombie nails the chaos and the grinding futility of it all.<br/><br/>The introduction of ""death tubes"" (cannons) is shocking, what an expereince it must have been for the real men who first faced them. And scattered throughout are darkly funny moments a ""cheese trap"" for a sandwich, something that ""tastes like progress."" Wirrun taking it like a man and muttering ""I'd have worn more armour"" had me laughing at a bleak moment. The sword and its lore - and how little he cares about it by the end, ""just bury it"" – says everything about what this book is doing. It is a little on the nose, the word Heroes must come up a lot. But I was here for it. <br/><br/>Calder is a standout. Quiet fury, properly smart - a political animal through and through. Finree's story is excellent too, with one particularly visceral kill and cool political maneuvering. And then there's the fifteen-year-old Red Beck... what a gut-punch of a storyline about the emptiness of chasing a name. Horrible. Gets worse. Before a little respite at the end. <br/><br/>""The songs might be full of heroes, but the only ones here were stones.""<br/><br/>This reminded me of parts of Life and Fate by Vasily Grossman. High praise. Despite the limited scope, the best of the First Law series for me, and the best thing I've read so far this year.<br/><br/>""War as a disagreement over prices."" Quite.",true,,1,0
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",0,3.78,Scribner,Hardcover,368,2025,2025,,2025/11/28,to-read,to-read (#311),to-read,,,,0,0
61327449,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,"Flyvbjerg, Bent",Dan Gardner,"=""0593239512""","=""9780593239513""",5,4.28,Crown Currency,Hardcover,304,2023,2023,2025/11/28,2023/02/12,"product, project, science, psycology","product (#1), project (#1), science (#10), psycology (#1)",read,"How Big Things Get Done<br/><br/>I really liked this book - kind of a ""work-read"" but makes the 5* in that genre. It is data driven, packed with clear and actionable insights, and framed around memorable stories like the Sydney Opera House, Heathrow Terminal 5, and the Olympics. The long case study of the Brooklyn couple doing a home renovation felt slightly out of place at times, but it is also very practical for normal people, especially if you have lived through your own mini construction situations!<br/><br/>Flysjberg’s core message can be summed up as: think slow, act fast. Spend serious time understanding what you are trying to do, why you are doing it, and how it has gone for others in the past. Then, once that groundwork is done, move quickly while the window of opportunity is open. The longer a project lingers half committed, unfinished, the more chances it has to fail.<br/><br/>Why are you doing this project?<br/><br/>One of the most useful ideas in the book is the insistence on a clear ""why"". Drawing on the architect Frank Gehry, Flyvbjerg describes the need to ""fill in the box on the right"": define the underlying problem, then outline the steps that will actually solve it. That simple discipline separates vanity projects from serious ones.<br/><br/>Linked to this is the idea of technology as embedded experience. The humble carrot peeler is an example of embodied test and learn, the physical outcome of many cycles of trial, error, and refinement. Good architecture is ""embodied music"" in the same sense, it crystallises experience.<br/><br/>Experience, experiment, and reference class forecasting<br/><br/>The book keeps coming back to the Latin root experiri, which underpins both ""experience"" and ""experiment"". You need both. Use what has already been delivered, off the shelf, by experienced people. Custom and bespoke sound glamorous, but in project terms they are often a red flag. Iterative processes and repeated patterns are safer.<br/><br/>This is where reference class forecasting (RCF) comes in. Instead of pretending you can magically predict cost and time from first principles, you pick a similar project as your baseline. You anchor your forecast in how long and how expensive it was in the real world, unknown unknowns included. According to Flyvbjerg, this approach is dramatically more accurate than traditional forecasting because it is grounded in reality rather than optimism.<br/><br/>I did raise an eyebrow at the positive HS2 example, which is interesting on paper but looks much less flattering given what we now know about the project’s later failures. That said, the underlying point stands: big, one off projects full of ""black swan"" events like archaeology, politics, and novelty are exactly where reference class thinking is most needed.<br/><br/>Psychology, stories, and the cost of failure<br/><br/>The book is very good on the psychology of big projects. Flyvbjerg goes after the popular myth of the lone creative or dropout genius who bends reality through sheer will. <br/><br/>Stories are seductive, and project managers love them. Survivorship bias means we constantly replay the few big success stories and ignore the vast graveyard of failures. Optimism bias in planning is dangerous, yet you still need some energy and drive to get anything built at all. That tension for PMs comes through clearly. Based on the data he quotes, true sucsessful outlier projects are rare, maybe one in five. The other 80% are disasters, often with very long tail distributions of cost and time overruns.<br/><br/>Another great sections leverages economics and looks at opportunity cost. When a grand project overruns or fails, it is not just the direct costs that hurt. All the other work that could have been done instead simply disappears. The opera house designer who was blamed and effectively exiled from the profession is a good example: we lost not just his reputation, but all the buildings he might have created afterwards.<br/><br/>Power, politics, and stakeholders<br/><br/>Flysjberg is blunt about power and vested interests. You need to know who actually holds power in your project and who has special interests at stake. The Olympics feature heavily as an example of some of the worst spending and overrun patterns in history. Every Games is treated as a one off, run by inexperienced locals who insist on uniqueness, and the result is almost always waste on a spectacular scale.<br/><br/>Modular construction and ""What is your Lego?""<br/><br/>One of my favourite themes is modularity. Repetition is the mother of learning. Modular construction, when done well, is ""magic"" because it gives you scale without losing control. Flyvbjerg points to high end cars as proof that modular, repeatable systems can still be beautiful and high quality. <br/><br/>He also shows that the most successful types of projects in his database, in terms of time and cost, are the highly modular ones: solar farms, then wind, then coal and gas plants, electricity transmission, and roads. At the other end of the spectrum you find nuclear waste storage and the largest nuclear plants, plus mega events like the Olympics. These projects combine complexity, novelty, politics, and long time horizons in a way that invites disaster.<br/><br/>This all leads to the key question: what is your Lego? What are the units, modules, or patterns you can repeat, refine, and scale, instead of treating everything as bespoke?<br/><br/>The 11 heuristics<br/><br/>The book closes with 11 practical heuristics that act as a simple checklist for anyone leading projects, big or small:<br/><br/>Hire a masterbuilder: choose a leader with deep domain experience and a proven track record.<br/><br/>Get your team right: build a strong, experienced team, ideally one the masterbuilder has worked with before.<br/><br/>Ask ""why?"": clearly understand the ultimate goal and purpose of the project.<br/><br/>Build with Lego: use modular, replicable components; start small and scale up.<br/><br/>Think slow, act fast: invest time in thorough planning before moving quickly into execution.<br/><br/>Take the outside view: learn from similar projects; use real world data and reference classes.<br/><br/>Watch your downside: identify and mitigate risks; focus on avoiding catastrophic failures.<br/><br/>Say no and walk away: stay focused, avoid distractions, and be willing to abandon projects with poor prospects.<br/><br/>Make friends and keep them friendly: build and maintain strong relationships with key stakeholders.<br/><br/>Build climate mitigation into your project: integrate sustainability and climate considerations from the start.<br/><br/>Know that your biggest risk is you: recognise and manage your own biases and blind spots as a leader.<br/><br/>Verdict<br/><br/>For me, this is a very strong mix of narrative, data, and practical advice. The Brooklyn renovation story runs a little long compared to the mega projects, but it does make the lessons feel applicable to ordinary readers. If you care about how big projects actually work, or you manage any kind of complex initiative yourself, this is well worth your time.",,,1,0
